date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:45:46	136/136	---M-Z	200	added ('OK')	text/plain	etag:%22cb-627b9155f1e6f-gzip%22	https://bleau.info/robots.txt		(from )
19:45:47	13273/13273	---M-Z	200	added ('OK')	text/html	etag:W/%228d88fcc0370947e839078e8a0f07327d-gzip%22	https://bleau.info/	./bleau.info/index.html	(from )
19:45:47	7209/7209	---M--	200	added ('OK')	image/png	etag:%2267443ead-1c29%22	https://bleau.info/favicon-152.png	./bleau.info/favicon-152.png	(from https://bleau.info/)
19:45:48	178378/178378	---M-Z	200	added ('OK')	text/css	etag:%22676561bd-6f86%22	https://bleau.info/assets/application-76fcff443701170569e4b5f16dc2cc45b0c208a236474c507e9e3bd2d734d0e9.css	./bleau.info/assets/application-76fcff443701170569e4b5f16dc2cc45b0c208a236474c507e9e3bd2d734d0e9.css	(from https://bleau.info/)
19:45:49	324419/324419	---M-Z	200	added ('OK')	application/javascript	etag:%2267443ead-18375%22	https://bleau.info/assets/application-35c1740e64b44fec28b0eeb108bdff2df415952acf1db54e7ee0f8e0febf8d33.js	./bleau.info/assets/application-35c1740e64b44fec28b0eeb108bdff2df415952acf1db54e7ee0f8e0febf8d33.js	(from https://bleau.info/)
19:45:51	1434/1434	---MCZ	200	added ('OK')	image/png	etag:W/%225d03575b-59a%22	https://bleau.info/assets/favicon-32-7148ae030955f150ba5b5e2b3a1e41089c75221961e3b0c9daf8ec91523cbdeb.png	./bleau.info/assets/favicon-32-7148ae030955f150ba5b5e2b3a1e41089c75221961e3b0c9daf8ec91523cbdeb.png	(from https://bleau.info/)
19:45:51	13514/13514	---M-Z	200	added ('OK')	text/html	etag:W/%225b48726c2571e5b3ab89f255590622b6-gzip%22	https://bleau.info/?locale=fr	./bleau.info/indexf9ce.html	(from https://bleau.info/)
19:45:51	13273/13273	---M-Z	200	added ('OK')	text/html	etag:W/%226f0349bc4f502a75e85eeb1562c71a74-gzip%22	https://bleau.info/?locale=en	./bleau.info/index7038.html	(from https://bleau.info/)
19:45:51	104016/104016	---M-Z	200	added ('OK')	text/html	etag:W/%22b18f3496c04183c994f6c33897a380f4-gzip%22	https://bleau.info/areas_by_region	./bleau.info/areas_by_region.html	(from https://bleau.info/)
19:45:53	53631/53631	---M-Z	200	added ('OK')	text/html	etag:W/%22b1ecd97773e05392d49891e9c123b6d1-gzip%22	https://bleau.info/map	./bleau.info/map.html	(from https://bleau.info/)
19:45:54	31685/31685	---M-Z	200	added ('OK')	text/html	etag:W/%225eb0efd8001c432fa0a65c200d7cd35f-gzip%22	https://bleau.info/advanced-search	./bleau.info/advanced-search.html	(from https://bleau.info/)
19:45:54	280/280	---MCZ	200	added ('OK')	image/gif	etag:W/%225649973b-118%22	https://bleau.info/assets/french-08f7dc57e6c0e020cf8744c41841ec2744b0390d792d43cb1dae62259ae358e9.gif	./bleau.info/assets/french-08f7dc57e6c0e020cf8744c41841ec2744b0390d792d43cb1dae62259ae358e9.gif	(from https://bleau.info/)
19:45:56	1034/1034	---MCZ	200	added ('OK')	image/gif	etag:W/%225649973b-40a%22	https://bleau.info/assets/english-86f81edb2cafecff2d282e0033ec675ad4ac7693abe83f741d12ea73aff3180a.gif	./bleau.info/assets/english-86f81edb2cafecff2d282e0033ec675ad4ac7693abe83f741d12ea73aff3180a.gif	(from https://bleau.info/)
19:45:56	6824/6824	---M-Z	200	added ('OK')	text/html	etag:W/%22d2de6696edb4c3e5fbe5fd13daf9692d-gzip%22	https://bleau.info/login	./bleau.info/login.html	(from https://bleau.info/)
19:45:57	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Jun%202025%2017:45:57%20GMT	http://bleau.info/about	./bleau.info/about.a.delayed	(from https://bleau.info/)
19:45:58	9008/9008	---M-Z	200	added ('OK')	text/html	etag:W/%22cde9bf8da8979709897165996e120cb6-gzip%22	https://bleau.info/about	./bleau.info/about.html	(from https://bleau.info/)
19:45:59	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Jun%202025%2017:45:59%20GMT	http://bleau.info/contribute	./bleau.info/contribute	(from https://bleau.info/)
19:46:00	7808/7808	---M-Z	200	added ('OK')	text/html	etag:W/%22c6d55504e7aab0c3ef36ad3defe90ba8-gzip%22	https://bleau.info/contribute	./bleau.info/contribute.html	(from https://bleau.info/)
19:46:01	8946/8946	---M-Z	200	added ('OK')	text/html	etag:W/%22f10bc195626c80ab5eda5f097b8db43f-gzip%22	https://bleau.info/new_problems	./bleau.info/new_problems.html	(from https://bleau.info/)
19:46:02	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Jun%202025%2017:46:02%20GMT	http://bleau.info/ethics	./bleau.info/ethics	(from https://bleau.info/)
19:46:03	10654/10654	---M-Z	200	added ('OK')	text/html	etag:W/%22fad8ca0f0b440bff504670cbd72b5f2e-gzip%22	https://bleau.info/ethics	./bleau.info/ethics.html	(from https://bleau.info/)
19:46:04	9368/9368	---M-Z	200	added ('OK')	text/html	etag:W/%22b6ca33a15f7ddd3677e2515e325b7186-gzip%22	https://bleau.info/sponsoring	./bleau.info/sponsoring.html	(from https://bleau.info/)
19:46:05	11703/11703	---M-Z	200	added ('OK')	text/html	etag:W/%22e8b17f4f8437db9770ec2ec3c63b0ef7-gzip%22	https://bleau.info/marlanval/313933.html	./bleau.info/marlanval/313933.html	(from https://bleau.info/)
19:46:06	62976/62976	---M-Z	200	added ('OK')	text/html	etag:W/%22d73588dbd8d5faf312815b44eb2663a6-gzip%22	https://bleau.info/marlanval	./bleau.info/marlanval.html	(from https://bleau.info/)
